Model,CV AUC,Val AUC,Val F1,Val Recall
CatBoost,0.821417115063886,0.8288099962207105,0.5513078470824949,0.6342592592592593
RandomForest,0.8217522756559207,0.823259164777022,0.5725047080979284,0.7037037037037037
LightGBM,0.8032893108838227,0.817820530990174,0.5523385300668151,0.5740740740740741
HistGradientBoosting,0.8042753164847223,0.8146140400604687,0.5541666666666667,0.6157407407407407
LogisticRegression,0.806771467703066,0.8070200302343159,0.5628318584070796,0.7361111111111112
