iter	Logloss
118	0.4356464971
119	0.4353927655
120	0.435016213
121	0.4346635408
122	0.433892894
123	0.4334964644
124	0.4330325083
125	0.4328024068
126	0.432443702
127	0.431842052
128	0.4310730731
129	0.4308054137
130	0.4303694801
131	0.4298424179
132	0.4294229976
133	0.4291404095
134	0.42847999
135	0.4279436147
136	0.4274309807
137	0.4267097902
138	0.4259999978
139	0.425450751
140	0.4249779545
141	0.424443414
142	0.4241782287
143	0.42348406
144	0.4230263868
145	0.4225748018
146	0.4218086307
147	0.4215552327
148	0.4210739572
149	0.4206072767
150	0.420271785
151	0.4200132996
152	0.4194114272
153	0.4187176754
154	0.4180178632
155	0.4175721163
156	0.4171316513
157	0.416550629
158	0.416056343
159	0.4155379266
160	0.4150356342
161	0.4146121551
162	0.4142148081
163	0.4138303882
164	0.4132949025
165	0.4127730944
166	0.4121539581
167	0.4117768496
168	0.4113363291
169	0.4105419131
170	0.4100819881
171	0.40965976
172	0.4090782651
173	0.4086235665
174	0.4083542668
175	0.4078439124
176	0.4072753445
177	0.4065382246
178	0.4060994833
179	0.4056511509
180	0.4053181055
181	0.4050133329
182	0.4049704652
183	0.4044923311
184	0.4037566567
185	0.403471789
186	0.402859575
187	0.4024410999
188	0.4016608898
189	0.4008982216
190	0.4003004636
191	0.3997018994
192	0.3993545092
193	0.3987466042
194	0.398048599
195	0.3973882352
196	0.3968764352
197	0.3963056155
198	0.395813498
199	0.3953827352
200	0.3948175868
201	0.3944671108
202	0.3939635952
203	0.3936391123
204	0.393096621
205	0.3926766169
206	0.3922616168
207	0.391689157
208	0.3913122431
209	0.3909513698
210	0.3905784869
211	0.3899870674
212	0.3891974886
213	0.388587443
214	0.3882617091
215	0.3875682354
216	0.3870573805
217	0.3864499481
218	0.3859148238
219	0.38532232
220	0.3849495206
221	0.3844765573
222	0.3840315053
223	0.3837080788
224	0.3833265501
225	0.3827980144
226	0.381990866
227	0.3814501816
228	0.3808857004
229	0.3805165149
230	0.3801012925
231	0.3796341394
232	0.3790362146
233	0.3783823004
234	0.3778825657
235	0.3773114402
236	0.3769566552
237	0.3763091906
238	0.3759019746
239	0.3755236151
240	0.375038948
241	0.3745992614
242	0.3739383972
243	0.3735581195
244	0.3731836242
245	0.372524011
246	0.3721514617
247	0.3715593749
248	0.3709162472
249	0.3705569307
250	0.3701245834
251	0.3696750278
252	0.3691985895
253	0.3687388313
254	0.3682944743
255	0.3678470038
256	0.3674315589
257	0.3668511204
258	0.3664885236
259	0.3657141793
260	0.3653348468
261	0.3650319368
262	0.3643947304
263	0.3638143753
264	0.3632381346
265	0.3626838838
266	0.3623430267
267	0.3614484469
268	0.3609394547
269	0.3604219834
270	0.3601098438
271	0.3595694652
272	0.3592767023
273	0.3587118874
274	0.3581246935
275	0.3576755549
276	0.3573653335
277	0.3568119723
278	0.3564042559
279	0.3557930148
280	0.3552896104
281	0.3549084431
282	0.3545527407
283	0.3541762716
284	0.3539210944
285	0.3532023225
286	0.3529330785
287	0.3526340605
288	0.3522294577
289	0.351715239
290	0.3512714659
291	0.3508457628
292	0.3505275905
293	0.3497308671
294	0.3492292141
295	0.3486902256
296	0.3481377818
297	0.3477118285
298	0.3474771678
299	0.3470607499
300	0.3466731052
301	0.3462911873
302	0.3459412951
303	0.3457375759
304	0.3452878535
305	0.344760958
306	0.3443892705
307	0.3437901503
308	0.3433614448
309	0.3430531416
310	0.3425835699
311	0.342256724
312	0.3417009164
313	0.3412692085
314	0.3407813999
315	0.3401598173
316	0.3397075095
317	0.3392079415
318	0.338929996
319	0.3385973955
320	0.3384161943
321	0.3379968853
322	0.3376585023
323	0.3370729208
324	0.3367260588
325	0.3362378333
326	0.3359492959
327	0.3352801195
328	0.3349053462
329	0.334461851
330	0.3342160424
331	0.3337117206
332	0.3332483206
333	0.3326622109
334	0.3324213229
335	0.3318411346
336	0.331445817
337	0.3310622867
338	0.3306946024
339	0.3303468231
340	0.330077857
341	0.3297626871
342	0.3294528271
343	0.3289860632
344	0.3284818804
345	0.3278849565
346	0.3275524671
347	0.3271126138
348	0.3267769553
349	0.3264274523
350	0.3260015546
351	0.3255876943
352	0.3252844785
353	0.3248633903
354	0.3246396272
355	0.3242671613
356	0.323703931
357	0.323343725
358	0.3230943302
359	0.3225690193
360	0.3221993891
361	0.321889251
362	0.3215044419
363	0.3212154876
364	0.3207751338
365	0.3203815398
366	0.319924923
367	0.3195886251
368	0.3191341211
369	0.3187922631
370	0.3183983634
371	0.3180374345
372	0.3176999412
373	0.3173160772
374	0.3169887031
375	0.3166125677
376	0.3162238387
377	0.3159671325
378	0.3155418464
379	0.3152292342
380	0.3148481502
381	0.3142516711
382	0.3138659445
383	0.313643349
384	0.3132462523
385	0.3127630307
386	0.3124845292
387	0.3122203726
388	0.3116923929
389	0.3114013535
390	0.3110971647
391	0.3106933403
392	0.3105395223
393	0.3101940225
394	0.3098817439
395	0.3094024978
396	0.3090239715
397	0.3087901725
398	0.3084180403
399	0.3080025954
