iter	Logloss
0	0.6761977678
1	0.6582259971
2	0.6416577984
3	0.6299840316
4	0.6143946748
5	0.6028628554
6	0.5942864101
7	0.5836736623
8	0.5760837873
9	0.5698643466
10	0.5616350691
11	0.5551114951
12	0.549641879
13	0.5452444019
14	0.5387302244
15	0.5351440101
16	0.5299344918
17	0.5253826685
18	0.5215969607
19	0.5188558142
20	0.5152261205
21	0.512824469
22	0.5100581912
23	0.5080427944
24	0.505885061
25	0.5033056555
26	0.5017352829
27	0.4995053804
28	0.4975835032
29	0.4960962529
30	0.4944141238
31	0.4926404211
32	0.4916914366
33	0.4903076583
34	0.4887819326
35	0.487525868
36	0.4863819491
37	0.4852758383
38	0.48400554
39	0.4828718515
40	0.4817130317
41	0.4805577147
42	0.4795852668
43	0.4783032925
44	0.4772208674
45	0.4764733225
46	0.4754775225
47	0.4746793257
48	0.4739952206
49	0.4733563741
50	0.4724760002
51	0.4714118675
52	0.4707280404
53	0.4699834423
54	0.4693249688
55	0.4686396405
56	0.4681241153
57	0.467264925
58	0.4666269681
59	0.4663954488
60	0.4659530934
61	0.4652209775
62	0.4647095667
63	0.463976867
64	0.4632689372
65	0.4624968169
66	0.4616432145
67	0.4611011123
68	0.4605778309
69	0.4603199014
70	0.4596881439
71	0.4591061208
72	0.4586864503
73	0.4583651923
74	0.4578521968
75	0.4572874654
76	0.4568909246
77	0.456385185
78	0.4558701045
79	0.4553210246
80	0.4550139723
81	0.4545640553
82	0.4541984839
83	0.4533227248
84	0.4526867695
85	0.4522308477
86	0.4515730693
87	0.4506526354
88	0.4499574102
89	0.4494084136
90	0.4488754299
91	0.4480897988
92	0.4475905088
93	0.4470266114
94	0.446727093
95	0.4463412831
96	0.4457406895
97	0.4449973423
98	0.4449336245
99	0.4447460015
100	0.4439945645
101	0.443456688
102	0.4430454687
103	0.4423943068
104	0.4419894259
105	0.4414015092
106	0.4413336213
107	0.4410960694
108	0.4406579953
109	0.4402926184
110	0.4398151515
111	0.4395888864
112	0.439186452
113	0.4384772712
114	0.4380975773
115	0.4372992693
116	0.4369474311
117	0.4363016623
